NUM|CONSOLKEY|CRFTYPE|CRF_TXN_CODE|TID|PARENTBRCA|BRCA_CO|CCY|PSTA|DRCR|EXRATE|CURRMAR|ACCOFF|TRAT|PLCATE|PRODCA|SYSID|DESK|DLREF|OUREF|THREF|CSNM|COUNTERPARTY|VALD|PSTD|EXDATE|INPUTTER|AUTHORISER|RSMK|REMK|CURRNO|SYS_DATE|CATEGORY|SECTOR|TENOR|PRODCODE|
500105|PL.51500.21060.3063.ST.03002..00......CN0010611|51500|ACC|184430096371265.050001|0611|0611|CNY|13.890000|1||1|1|450|51500|21060|LD|00|LD1817183779|LD1817183779||1003314||20180701|20180702||43_INPUTTER|43_INPUTTER|||1|20180702|51500|3063|ST|21060|
59010202|PL.51001.21056.3112.MT.02402.SECU.00......CN0010606|51001|ACC|184431367771266.000001|0606|0606|CNY|89.320000|1||1|9999|450|51001|21056|LD|00|LD1623846074|LD1623846074||1001372||20180701|20180702||35_INPUTTER|35_INPUTTER|||1|20180702|51001|3112|MT|21056|
50110101|PL.50000.1112.3203..........CN0010609|||184810040244663.090001|0606|0609|CNY|-0.370000|0||1|1|380|50000|1112|IC|||1060902000003602||1002273|||20180702||45_INPUTTER|45_INPUTTER|||1|20180702|50000|3203||1112|
500105|PL.51500.21060.3063.ST.03002..00......CN0010611|51500|ACC|184810387444526.020001|0611|0611|CNY|13.890000|1||1|1|450|51500|21060|LD|00|LD1817183779|LD1817183779||1003314||20180702|20180702||46_INPUTTER|46_INPUTTER|||1|20180702|51500|3063|ST|21060|
59010202|PL.51001.21056.3112.MT.02402.SECU.00......CN0010606|51001|ACC|184811643444521.000001|0606|0606|CNY|89.310000|1||1|9999|450|51001|21056|LD|00|LD1623846074|LD1623846074||1001372||20180702|20180702||36_INPUTTER|36_INPUTTER|||1|20180702|51001|3112|MT|21056|
50110101|PL.50000.1112.3049..........CN0010606|||184812311944671.020001|0606|0606|CNY|-0.090000|0||1|1|380|50000|1112|IC|||1060602000007035||1004129|||20180702||42_INPUTTER|42_INPUTTER|||1|20180702|50000|3049||1112|
50110101|PL.50000.1112.3049..........CN0010607|||184812311944675.000001|0606|0607|CNY|-0.010000|0||1|1|380|50000|1112|IC|||1060702000006998||1004087|||20180702||42_INPUTTER|42_INPUTTER|||1|20180702|50000|3049||1112|
50110101|PL.50000.1112.3201..........CN0010606|||184811060744675.060001|0606|0606|CNY|-0.310000|0||1|1|380|50000|1112|IC|||1060602000004068||1002506|||20180702||48_INPUTTER|48_INPUTTER|||1|20180702|50000|3201||1112|
920306|PL.53000.20000.....31......CN0010688|||184810724044855.020001|0688|0688|JPY|611699.000000|1|0.059914|1|1|303|53000|20000|RV|31||JPYCNY1401631010688||0|||20180702||47_INPUTTER|47_INPUTTER|||1|20180702|53000|||20000|
920306|PL.53000.20000.....31......CN0010688|||184810724044859.010002|0688|0688|JPY|-611699.000000|0|0.059914|1|1|303|53000|20000|RV|31||JPYCNY1401631010688||0|||20180702||47_INPUTTER|47_INPUTTER|||1|20180702|53000|||20000|
50110101|PL.50000.1115.3107..........CN0010606|||184811060744676.020001|0606|0606|CNY|-123.730000|0||1|1|380|50000|1115|IC|||1060602000005067||1002713|||20180702||48_INPUTTER|48_INPUTTER|||1|20180702|50000|3107||1115|
501103|PL.50000.1101.1002..........CN0010606|||184812311944659.030001|0606|0606|USD|-0.180000|0|6.616600|1|9999|380|50000|1101|IC|||1060601000001189||1000426|||20180702||42_INPUTTER|42_INPUTTER|||1|20180702|50000|1002||1101|
50110101|PL.50000.1112.3203..........CN0010606|||184811060744671.060001|0606|0606|CNY|-0.100000|0||1|1|380|50000|1112|IC|||1060602000005652||1003658|||20180702||48_INPUTTER|48_INPUTTER|||1|20180702|50000|3203||1112|
50110101|PL.50000.1112.3203..........CN0010609|||184810040244664.090001|0606|0609|CNY|-4.510000|0||1|1|380|50000|1112|IC|||1060902000005494||1003569|||20180702||45_INPUTTER|45_INPUTTER|||1|20180702|50000|3203||1112|
501104|PL.50000.6122.1002..........CN0010606|||184430096371277.010001|0606|0606|CNY|-21.340000|0||1|9999|380|50000|6122|IC|||1060606000002071||1000753|||20180702||43_INPUTTER|43_INPUTTER|||1|20180702|50000|1002||6122|
59010203|PL.51001.21056.3204.MT.02401.SECU.00......CN0010606|51001|ACC|184430769771266.050001|0606|0606|CNY|82.580000|1||1|1|450|51001|21056|LD|00|LD1722756864|LD1722756864||1002725||20180701|20180702||45_INPUTTER|45_INPUTTER|||1|20180702|51001|3204|MT|21056|
501104|PL.50000.6122.1002..........CN0010606|||184810387444667.000001|0606|0606|CNY|-18.240000|0||1|9999|380|50000|6122|IC|||1060606000002071||1000753|||20180702||46_INPUTTER|46_INPUTTER|||1|20180702|50000|1002||6122|
50110101|PL.50000.1112.3107..........CN0010606|||184811060744671.020001|0606|0606|CNY|-0.050000|0||1|1|380|50000|1112|IC|||1060602000004826||1002713|||20180702||48_INPUTTER|48_INPUTTER|||1|20180702|50000|3107||1112|
59010203|PL.51001.21056.3204.MT.02401.SECU.00......CN0010606|51001|ACC|184811643444522.020001|0606|0606|CNY|82.580000|1||1|1|450|51001|21056|LD|00|LD1722756864|LD1722756864||1002725||20180702|20180702||36_INPUTTER|36_INPUTTER|||1|20180702|51001|3204|MT|21056|
501103|PL.50000.1101.1002..........CN0010608|||184811975244662.000001|0608|0608|CNY|-0.050000|0||1|9999|380|50000|1101|IC|||1060801000006694||1001376|||20180702||41_INPUTTER|41_INPUTTER|||1|20180702|50000|1002||1101|
59010203|PL.51001.21056.3203.MT.02401.SECU.00......CN0010606|51001|ACC|184430433071266.100001|0606|0606|CNY|713.790000|1||1|9999|450|51001|21056|LD|00|LD1712569285|LD1712569285||1002139||20180701|20180702||44_INPUTTER|44_INPUTTER|||1|20180702|51001|3203|MT|21056|
50010302|PL.51001.21056.3061.LT.02402.UNSECU.00......CN0010606|51001|ACC|184432704671265.010001|0606|0606|CNY|4185.830000|1||1|1|450|51001|21056|LD|00|LD1808900593|LD1808900593||1004257||20180701|20180702||40_INPUTTER|40_INPUTTER|||1|20180702|51001|3061|LT|21056|
50110101|PL.50000.1112.3109..........CN0010609|||184810040244662.000001|0606|0609|CNY|-2.930000|0||1|9999|380|50000|1112|IC|||1060902000002061||1000913|||20180702||45_INPUTTER|45_INPUTTER|||1|20180702|50000|3109||1112|
59010203|PL.51001.21056.3203.MT.02401.SECU.00......CN0010606|51001|ACC|184811060744528.020001|0606|0606|CNY|713.800000|1||1|9999|450|51001|21056|LD|00|LD1712569285|LD1712569285||1002139||20180702|20180702||48_INPUTTER|48_INPUTTER|||1|20180702|51001|3203|MT|21056|
50110101|PL.50000.1112.3109..........CN0010606|||184811060744678.020001|0606|0606|CNY|-0.190000|0||1|9999|380|50000|1112|IC|||1060602000000855||1001400|||20180702||48_INPUTTER|48_INPUTTER|||1|20180702|50000|3109||1112|
50110101|PL.50000.1131.3109..........CN0010609|||184811643444676.000001|0606|0609|USD|-1.830000|0|6.616600|1|9999|380|50000|1131|IC|||1060903000001727||1000913|||20180702||36_INPUTTER|36_INPUTTER|||1|20180702|50000|3109||1131|
50010302|PL.51001.21056.3061.LT.02402.UNSECU.00......CN0010606|51001|ACC|184812980344524.050001|0606|0606|CNY|4185.840000|1||1|1|450|51001|21056|LD|00|LD1808900593|LD1808900593||1004257||20180702|20180702||44_INPUTTER|44_INPUTTER|||1|20180702|51001|3061|LT|21056|
59010202|PL.51001.21053.3203.MT.02199.SECU.00......CN0010606|51001|ACC|184431031071267.100001|0606|0606|CNY|2597.660000|1||1|9999|450|51001|21053|LD|00|LD1428200050|LD1428200050||1001315||20180701|20180702||34_INPUTTER|34_INPUTTER|||1|20180702|51001|3203|MT|21053|
