NUM|NAME|CCY|PARENTBRCA|BRCA|BALANCE|CLSFCT_ITEM|DA|CA|ACT_DATE|
2015|联行存放款项|EUR||0606|-2478.680000|负债|0.000000|0.000000|20180701|
2015|联行存放款项|CNY||0606|-718786004.680000|负债|0.000000|0.000000|20180701|
2015|联行存放款项|USD||0606|-46339373.210000|负债|0.000000|0.000000|20180701|
201501|联行存放款项-境内资金往来|CNY||0606|-217869734.750000|负债|0.000000|0.000000|20180701|
201501|联行存放款项-境内资金往来|EUR||0606|-2478.680000|负债|0.000000|0.000000|20180701|
201501|联行存放款项-境内资金往来|USD||0606|-46339373.210000|负债|0.000000|0.000000|20180701|
20150101|联行存放款项-境内资金往来-同存|CNY||0606|-217869734.750000|负债|0.000000|0.000000|20180701|
20150101|联行存放款项-境内资金往来-同存|EUR||0606|-2478.680000|负债|0.000000|0.000000|20180701|
20150101|联行存放款项-境内资金往来-同存|USD||0606|-46339373.210000|负债|0.000000|0.000000|20180701|
201502|联行存放款项-境外资金往来|CNY||0606|-500916269.930000|负债|0.000000|0.000000|20180701|
20150201|联行存放款项-境外资金往来-同存|CNY||0606|-916269.930000|负债|0.000000|0.000000|20180701|
20150203|联行存放款项-境外资金往来-定存|CNY||0606|-500000000.000000|负债|0.000000|0.000000|20180701|
2021|单位存款|EUR||0606|-5.620000|负债|0.000000|0.000000|20180701|
2021|单位存款|JPY||0606|-490002.000000|负债|0.000000|0.000000|20180701|
2021|单位存款|CNY||0606|-740367720.360000|负债|0.000000|0.000000|20180701|
2021|单位存款|GBP||0606|-0.020000|负债|0.000000|0.000000|20180701|
2021|单位存款|HKD||0606|-1.300000|负债|0.000000|0.000000|20180701|
2021|单位存款|USD||0606|-5188884.890000|负债|0.000000|0.000000|20180701|
202101|单位存款-单位活期存款|CNY||0606|-324841963.380000|负债|0.000000|0.000000|20180701|
202101|单位存款-单位活期存款|GBP||0606|-0.020000|负债|0.000000|0.000000|20180701|
202101|单位存款-单位活期存款|HKD||0606|-1.300000|负债|0.000000|0.000000|20180701|
202101|单位存款-单位活期存款|EUR||0606|-5.620000|负债|0.000000|0.000000|20180701|
202101|单位存款-单位活期存款|JPY||0606|-490002.000000|负债|0.000000|0.000000|20180701|
202101|单位存款-单位活期存款|USD||0606|-2697080.300000|负债|0.000000|0.000000|20180701|
202102|单位存款-单位定期存款|CNY||0606|-355525756.980000|负债|0.000000|0.000000|20180701|
202102|单位存款-单位定期存款|USD||0606|-2491804.590000|负债|0.000000|0.000000|20180701|
202107|单位存款-单位理财业务负债（本金）|CNY||0606|-60000000.000000|负债|0.000000|0.000000|20180701|
2022|储蓄存款|USD||0606|-163623.620000|负债|0.000000|0.000000|20180701|
2022|储蓄存款|CNY||0606|-74347387.750000|负债|0.000000|0.000000|20180701|
2022|储蓄存款|HKD||0606|-0.050000|负债|0.000000|0.000000|20180701|
202201|储蓄存款-活期储蓄存款|HKD||0606|-0.050000|负债|0.000000|0.000000|20180701|
202201|储蓄存款-活期储蓄存款|USD||0606|-152663.900000|负债|0.000000|0.000000|20180701|
202201|储蓄存款-活期储蓄存款|CNY||0606|-5482997.680000|负债|0.000000|0.000000|20180701|
202202|储蓄存款-定期储蓄存款|USD||0606|-10959.720000|负债|0.000000|0.000000|20180701|
202202|储蓄存款-定期储蓄存款|CNY||0606|-68864390.070000|负债|0.000000|0.000000|20180701|
2023|通知存款|CNY||0606|-42145796.340000|负债|0.000000|0.000000|20180701|
202301|通知存款-单位通知存款|CNY||0606|-41230000.000000|负债|0.000000|0.000000|20180701|
202302|通知存款-个人通知存款|CNY||0606|-915796.340000|负债|0.000000|0.000000|20180701|
2024|临时存款|CNY||0606|-12699386.810000|负债|0.000000|0.000000|20180701|
2024|临时存款|USD||0606|-150113.700000|负债|0.000000|0.000000|20180701|
202401|临时存款-应解汇款|CNY||0606|-12699386.810000|负债|0.000000|0.000000|20180701|
202401|临时存款-应解汇款|USD||0606|-150113.700000|负债|0.000000|0.000000|20180701|
2132|应付利息|USD||0606|-12386.750000|负债|0.000000|0.000000|20180701|
2132|应付利息|CNY||0606|-8273165.330000|负债|0.000000|0.000000|20180701|
2132|应付利息|EUR||0606|-0.020000|负债|0.000000|0.000000|20180701|
213201|应付利息-应付单位定期存款息|CNY||0606|-2166579.150000|负债|0.000000|0.000000|20180701|
213201|应付利息-应付单位定期存款息|USD||0606|-12001.970000|负债|0.000000|0.000000|20180701|
213202|应付利息-应付定期储蓄存款息|USD||0606|-102.040000|负债|0.000000|0.000000|20180701|
213202|应付利息-应付定期储蓄存款息|CNY||0606|-3369434.050000|负债|0.000000|0.000000|20180701|
213203|应付利息-应付单位活期存款息|USD||0606|-270.060000|负债|0.000000|0.000000|20180701|
213203|应付利息-应付单位活期存款息|CNY||0606|-34665.440000|负债|0.000000|0.000000|20180701|
