LCNO|LCTYPE|CTMN|CSMN|ISBK|ISDT|ADEXRYDATE|BEFC|BEFCNO|MALC|IOUN|CDCN|NGTB|SWIFTCODE|LCCR|LCAM|LCBL|LCTE|COMS|CHTP|GRTC|LINE_CODE|FTYP|FCCY|FCAM|BRCA|PARENTBRCA|BRCA_CO|TENOR_DAYS|BANK_PAY_FLG|SYS_DATE|
TF1631565025|IUNU|逵迈贸易（上海）有限公司|1000913||20161110|20170525|NEW SITE INDUSTRIES INC.|||TF163156502501,|1000913.0003022.01.02|||USD|686400.000000000000|0.000000|23020|CNY17481.32,CNY135.83,CNY942.33,CNY137.80,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1000913.0003022.01|3022|USD|724680.000000||0606|0606|90|2|20180702|
TF1623950524|IUNU|丰锦国际贸易（上海）有限公司|1001269||20160826|20161005|BESTWIN CHEMICAL ENGINEERING|||TF162395052401,|1001269.0003022.01.02|||CNY|3600000.000000000000|0.000000|23020|CNY4500.00,CNY133.28,CNY8738.40,CNY133.47,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|180|2|20180702|
TF1624392209|IUNU|丰锦国际贸易（上海）有限公司|1001269||20160830|20160924|BRILLIANCE RESOURCES COMPANY|||TF162439220901,|1001269.0003022.01.02|||USD|656250.000000000000|0.000000|23020|CNY5478.21,CNY133.56,CNY5212.19,CNY133.43,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1626572906|IUNU|丰锦国际贸易（上海）有限公司|1001269||20160921|20161104|BESTWIN CHEMICAL ENGINEERING|||TF162657290601,TF162657290602,|1001269.0003022.01.02|||CNY|3541200.000000000000|0.000000|23020|CNY4426.50,CNY133.42,CNY2251.56,CNY134.02,CNY5871.07,CNY134.80,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|180|2|20180702|
TF1805829033|INSU|美利达自行车（山东）有限公司|1004037||20180227|20180423|SHIMANO (SINGAPORE) PTE LTD.|||TF180582903301,TF180582903302,|1004037.0003022.01.01|||USD|110000.000000000000|27198.420000|23010|CNY833.53,CNY126.30,|LCJKKZ,LCXBDF,||1004037.0003022.01|3022|USD|5000000.000000||0608|0608||2|20180702|
TF1701039103|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170110|20170217|BESTWIN CHEMICAL ENGINEERING|||TF170103910301,|1001269.0003022.01.03|||USD|75840.000000000000|0.000000|23020|CNY656.75,CNY138.56,CNY653.73,CNY137.92,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1701079055|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170110|20170328|BESTWIN CHEMICAL ENGINEERING|||TF170107905501,|1001269.0003022.01.03|||USD|477000.000000000000|0.000000|23020|CNY4130.67,CNY138.51,CNY3939.92,CNY137.71,|LCJKKZ,LCXBDF,LCCDFK,LCJKZFK,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1701703361|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170117|20170223|SINOPEC CHEMICAL COMMERCIAL|||TF170170336101,|1001269.0003022.01.03|||USD|955500.000000000000|0.000000|23020|CNY8239.93,CNY137.98,CNY7499.75,CNY137.36,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1702204089|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170122|20170323|SINOPEC CHEMICAL COMMERCIAL HOLDING|||TF170220408901,|1001269.0003022.01.03|||USD|955500.000000000000|0.000000|23020|CNY8214.91,CNY137.56,CNY8220.20,CNY137.71,|LCJKKZ,LCXBDF,LCCDFK,LCJKZFK,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1703844441|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170207|20170328|BESTWIN CHEMICAL ENGINEERING|||TF170384444101,|1001269.0003022.01.03|||USD|153612.480000000000|0.000000|23020|CNY1318.16,CNY137.30,CNY1317.30,CNY137.21,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
